price_cr,area_sqm,bhk,bathroom,balcony,addl_room,sector,landmark_count,has_hospital_or_clinic,has_police_stn,has_fire_stn,has_mall,has_market,has_park,has_bank_or_atm,has_institute,has_airport,has_rly_stn,has_metro_stn,has_expy,has_petrol_pump,has_hotel,has_temple_or_church,has_famous_chowk,has_club,has_stadium,has_restro_cafe,area_type,floor_rise,age,society,city
2.5,179.77,3,3,2,0,43,45,4,0,0,0,1,0,9,1,0,0,2,0,1,0,2,0,0,0,4,super built up,low,new,sushant lok 1 builder floors,gurgaon
0.9,181.16,3,3,2,1,78,7,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,super built up,low,old,umang monsoon breeze,gurgaon
0.42,54.91,2,2,1,1,92,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,carpet,mid,new,gls avenue 51,gurgaon
0.5,50.73,2,2,1,0,107,10,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,super built up,high,new,signature global solera,gurgaon
0.9,142.14,2,2,3,1,79,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,super built up,mid,new,supertech araville,gurgaon
1.3,177.44,3,3,3,1,89,7,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,carpet,low,new,greenopolis,gurgaon
1.7,166.2,3,3,3,0,33,15,0,0,0,0,0,2,2,3,0,0,0,0,1,1,0,0,0,0,1,super built up,high,under construction,central park flower valley aqua front towers,sohna
1.25,189.52,4,3,0,0,92,8,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,built up,high,mid aged,sare homes,gurgaon
2.91,404.13,4,4,3,1,82,9,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,super built up,mid,under construction,vatika sovereign next sector-82 a gurgaon,gurgaon
1.15,232.26,3,4,2,1,12,50,30,0,0,0,0,0,3,3,0,0,0,0,1,0,1,0,0,0,0,super built up,low,old,bhagwati sadan,gurgaon
1.2,89.0,3,3,3,1,89,14,1,0,0,1,0,2,0,2,0,1,1,2,0,1,0,0,0,0,0,carpet,low,mid aged,smart world gems,gurgaon
1.5,113.81,2,2,3,0,33,45,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,carpet,high,new,micasa sec 68,sohna
1.3,162.67,3,3,3,0,33,7,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,super built up,high,new,eldeco accolade,sohna
1.75,156.91,3,3,3,0,104,7,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,super built up,low,mid aged,hero homes,gurgaon
0.55,65.03,2,2,1,1,3,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,carpet,mid,new,shyam sadan,gurgaon
2.5,169.83,3,3,3,0,65,11,1,0,0,1,0,2,0,2,1,0,1,1,0,1,0,0,0,0,0,super built up,high,mid aged,m3m heights,gurgaon
0.43,75.25,2,2,1,0,33,48,37,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,super built up,low,old,hanumanta apartment,gurgaon
0.45,92.9,3,3,2,0,37,15,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,super built up,high,new,ashiyara 2,gurgaon
1.95,203.55,4,3,3,0,37,11,1,0,0,1,0,1,0,2,1,0,0,1,0,1,0,0,0,0,0,super built up,mid,mid aged,bptp terra,gurgaon
0.45,58.16,2,2,1,0,90,15,2,0,0,0,0,0,2,3,0,0,0,0,1,0,0,1,1,0,0,carpet,low,new,green court,gurgaon
1.7,145.86,3,2,3,0,79,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,built up,high,under construction,m3m golf hills phase 1,gurgaon
1.1,167.23,3,2,3,0,9,50,34,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,1,carpet,mid,old,abhinav group housing society,gurgaon
0.5,48.31,2,2,1,0,86,9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,carpet,high,new,pyramid urban homes 2,gurgaon
2.8,169.83,3,3,3,0,65,11,1,0,0,1,0,2,0,2,1,0,1,1,0,1,0,0,0,0,0,super built up,high,mid aged,m3m heights,gurgaon
1.45,83.61204013377927,3,2,3,1,33,8,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,built up,high,under construction,godrej nature plus,sohna
2.2,151.43,3,3,2,0,61,13,1,0,0,1,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,carpet,low,mid aged,smart world orchard,gurgaon
0.9,118.45,2,2,2,0,33,13,1,0,0,1,0,1,0,4,0,0,0,0,1,1,0,0,1,0,0,super built up,high,new,ashiana anmol,sohna
1.35,161.19,3,3,3,1,77,10,1,0,0,1,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,super built up,mid,new,umang winter hills,gurgaon
